name,symbol,gecko_id
btcUSD,btcUSD,f-x-btc-usd
Revenue Generating USD,rgUSD,revenue-generating-usd
bitSmiley USD,bitUSD,bitsmiley-bitusd
USDA,USDA,angle-usd
Chi USC,USC,usc-2
Usual USD,USD0,usual-usd
Classic USD,USC,classic-usd
Resolv USD,USR,resolv-usr
Stable Jack aUSD,aUSD,stable-jack-ausd
Celo Real,CREAL,celo-real-creal
Hedera Swiss Franc,HCHF,hedera-swiss-franc
HEX Dollar Coin,HEXDC,hex-dollar-coin
Anzen USDz,USDz,anzen-usdz
Chad USD,cUSD,chad-usd
Balanced Dollars,BNUSD,balanced-dollars
Agora Dollar,AUSD,agora-dollar
Opus CASH,CASH,opus-cash
Dyad,DYAD,dyad
Dackie USD,DCKUSD,dackie-usd
